,isbn,book_title,book_author,year_of_publication,book_id
48815,038550120X,A Painted House,JOHN GRISHAM,2001.0,9295
16,0060517794,Little Altars Everywhere,Rebecca Wells,2003.0,4779
19,0671537458,Waiting to Exhale,Terry McMillan,1995.0,1836
20,0679776818,Birdsong: A Novel of Love and War,Sebastian Faulks,1997.0,6276
698,0684867621,The Girl Who Loved Tom Gordon : A Novel,Stephen King,1999.0,1986
9678,0451166892,The Pillars of the Earth,Ken Follett,1996.0,102
62539,0380711524,See Jane Run,Joy Fielding,1992.0,7818
263979,0553572369,Pay Dirt (Mrs. Murphy Mysteries (Paperback)),RITA MAE BROWN,1996.0,27221
57330,3499230933,Adressat unbekannt.,Kathrine Kressmann Taylor,2002.0,33827
13630,0345443683,"Blackwood Farm (Rice, Anne, Vampire Chronicles.)",ANNE RICE,2003.0,2238
4260,043935806X,Harry Potter and the Order of the Phoenix (Book 5),J. K. Rowling,2003.0,5506
165867,055310666X,False Memory,Dean R. Koontz,1999.0,19992
1100,0330332775,Bridget Jones's Diary,Helen Fielding,1997.0,166
57425,3548603203,Artemis Fowl.,Eoin Colfer,2003.0,3217
26082,0440498058,A Wrinkle In Time,MADELEINE L'ENGLE,1998.0,16781
397,0440414121,The Watsons Go to Birmingham - 1963 (Yearling Newbery),CHRISTOPHER PAUL CURTIS,1997.0,5731
120,8426449476,El Diaro De Bridget Jones,Helen Fielding,1996.0,76824
133,0060096195,The Boy Next Door,Meggin Cabot,2002.0,17084
137,0375821813,Hoot (Newbery Honor Book),CARL HIAASEN,2002.0,1027
145,0786817070,"Artemis Fowl (Artemis Fowl, Book 1)",Eoin Colfer,2002.0,15602
110181,2253150711,Stupeur Et Tremblements,Amelie Nothomb,2001.0,33877
49788,0440225825,Move to Strike,Perri O'Shaughnessy,2001.0,13928
33898,0345446860,Back When We Were Grownups : A Novel (Ballantine Reader's Circle),ANNE TYLER,2002.0,1710
20834,0380005239,Go Ask Alice (Avon/Flare Book),James Jennings,1991.0,4757
177,3404148576,Nordermoor,Arnaldur Indridason,2003.0,51260
178,3404921178,Nur der Tod ist ohne Makel.,Ann Granger,2002.0,14439
179,3423071516,Der Kleine Hobbit,J. R. R. Tolkien,2002.0,82878
186,3442413508,Auf Ehre und Gewissen. Roman.,Elizabeth George,1992.0,8272
188,3442435773,Denn keiner ist ohne Schuld.,Elizabeth George,1996.0,52798
189,3442437717,Asche zu Asche.,Elizabeth George,1997.0,29866
190,3442441080,Im Angesicht des Feindes.,Elizabeth George,1998.0,5732
193,3442446414,Mit dem KÃ?Â¼hlschrank durch Irland.,Tony Hawks,2000.0,26789
194,3442448530,Die HirnkÃ?Â¶nigin.,Thea Dorn,2001.0,37701
195,3442449820,Undank ist der VÃ?Â¤ter Lohn.,Elizabeth George,2001.0,125292
199,347354034X,Die Welle,Rhue,1998.0,5213
210,3551551677,Harry Potter und der Stein der Weisen,Joanne K. Rowling,1999.0,34538
211,3551551685,Harry Potter und die Kammer des Schreckens,Joanne K. Rowling,2000.0,49230
212,3551551693,Harry Potter und der Gefangene von Azkaban,J. K. Rowling,1999.0,34539
213,3551551936,Harry Potter Und Der Feuerkelch,Joanne K. Rowling,1999.0,34540
216,360893541X,Die Gefahrten I,J. R. R. Tolkien,2001.0,51925
217,3608935428,Die Zwei Turme II,J. R. R. Tolkien,2001.0,51924
147525,0449217264,Alaska,James A. Michener,1994.0,11129
280,0836218833,Attack Of The Deranged Mutant Killer Snow Goons,Bill Watterson,1992.0,15184
281,0836220889,Calvin and Hobbes,Bill Watterson,1987.0,15188
282,088365721X,"The Best of Bombeck: At Wit's End, Just Wait Until You Have Children of Your Own, I Lost Everything in the Post-Natal Depression",Erma Bombeck,1994.0,32209
289,3423201509,Die Weiss Lowin / Contemporary German Lit,Henning Mankell,2002.0,10786
307,3404139178,Das Lacheln der Fortuna: Historischer Roman,Rebecca Gable,1997.0,79827
315,345309221X,Die Zauberin von Ruwenda.,Marion Zimmer Bradley,1995.0,53255
63727,042518109X,Whispers,Dean R. Koontz,2001.0,9525
356,8817106100,Oceano Mare,Alessandro Baricco,,7909
363,8838910987,Il birraio di Preston (La memoria),Andrea Camilleri,1995.0,68916
165140,0064430227,Harold and the Purple Crayon 50th Anniversary Edition (Purple Crayon Books),Crockett Johnson,1981.0,10042
14248,0812533550,Ender's Game (Ender Wiggins Saga (Paperback)),Orson Scott Card,1986.0,2996
2264,0440241537,The King of Torts,JOHN GRISHAM,2003.0,2884
214059,0060542845,The Holiday Present,Johanna Lindsey,2003.0,70515
57872,8420636282,El Principito,Antoine De Saint-Exupery,2002.0,7216
413,002542730X,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times,James Finn Garner,1994.0,3739
418,0140154078,The Music of Chance,Paul Auster,1993.0,24099
429,0385504209,The Da Vinci Code,Dan Brown,2003.0,748
443,063403541X,Bridget Jones's Diary: Music from the Motion Picture,Various,2001.0,74620
473,8420432113,Momo (Spanish Language Edition),Michael Ende,1984.0,76739
517,950491036X,La Sombra del Viento,Carlos Ruiz Zafon,2003.0,4349
524,059030271X,Charlotte's Web,E. B. White,1974.0,4205
528,0671021354,Child of the Hunt (Buffy the Vampire Slayer),Christopher Golden,1998.0,24409
544,2020564777,Bouquiner : Autobiobibliographie,Annie FranÃ?Â§ois,2002.0,39826
550,2070404587,Le Liseur,Berhard Schlink,,86293
576,2264031158,"Amour, Prozac, et autres curiositÃ?Â©s",Lucia Etxebarria,2000.0,68029
586,2266102621,Les Heures / The Hours,Michael Cunningham,2001.0,5677
587,2266104535,Et Si C'Etait Vrai / If This Were Only True,Marc Levy,2001.0,12723
23177,3596122279,Das Superwieb,Hera Lind,2002.0,3225
628,2070419657,Soie,Alessandro Baricco,2001.0,5355
629,2253063339,Les Fourmis,Bernard Werber,2002.0,819
630,2253137243,Le Jour des fourmis,Bernard Werber,1995.0,10565
631,2253144452,La RÃ?Â©volution des fourmis,Bernard Werber,1998.0,63406
634,226612269X,Ou Es-Tu?,Marc Levy,2003.0,15788
640,8423310353,El Camino (Coleccion Destinolibro),Miguel Delibes,1991.0,28203
16340,0446310786,To Kill a Mockingbird,Harper Lee,1988.0,37
811681,3423118709,Title Kassandra. ErzÃ?Â¤hlung. ( Sammlung Luchterhand im dtv).,Christa Wolf,1993.0,72550
23981,0312966970,Four To Score (A Stephanie Plum Novel),Janet Evanovich,1999.0,3120
683,0345348672,"The Power That Preserves (The Chronicles of Thomas Covenant the Unbeliever, Book 3)",Stephen R. Donaldson,1993.0,82039
684,0345354621,The Terminal Man,Michael Crichton,1988.0,7083
686,0345435036,Crying Wolf,PETER ABRAHAMS,2001.0,44439
688,0425104273,The First Deadly Sin,Lawrence Sanders,1993.0,15387
690,0440218667,The Select,F. Paul Wilson,1995.0,5285
691,0440220602,The Chamber,John Grisham,1995.0,5545
701,0812550307,"The Fires of Heaven (The Wheel of Time, Book 5)",Robert Jordan,1994.0,2251
702,0843949163,In the Dark,Richard Laymon,2001.0,55444
703,0886773741,Tailchaser's Song,Tad Williams,1994.0,6561
704,0886774802,"Stone of Farewell (Memory, Sorrow, and Thorn, Book 2)",Tad Williams,1994.0,67054
705,0886774829,"Stronghold (Dragon Star, Book 1)",Melanie Rawn,1994.0,16301
706,0886775426,"The Dragon Token (Dragon Star, Book 2)",Melanie Rawn,1994.0,16303
707,0886775957,"Skybowl (Dragon Star, Book 3)",Melanie Rawn,1994.0,16304
20764,0060930187,The Bell Jar : A Novel (Perennial Classics),Sylvia Plath,2000.0,670
28380,0375760911,The Idiot Girls' Action Adventure Club,Laurie Notaro,2002.0,4726
36622,0689817851,Go Ask Alice,Anonymous,1998.0,9922
16458,0874869870,She Said Yes: The Unlikely Martyrdom of Cassie Bernall,Misty Bernall,1999.0,16738
739,0061083259,Dreamcatcher,Dinah McCall,1996.0,21284
