,user_id,book_id,book_rating
48815,11676,9295,5.0
81153,16877,9295,4.5
92472,20806,9295,3.0
95333,21356,9295,3.5
98536,22625,9295,5.0
126567,29168,9295,3.5
137834,31315,9295,3.0
143483,32188,9295,4.0
150207,33974,9295,4.0
151806,34588,9295,2.5
230681,53220,9295,4.0
232238,53614,9295,4.0
262687,60337,9295,4.0
275761,64436,9295,4.5
314273,75819,9295,4.0
315493,76151,9295,5.0
316334,76351,9295,5.0
420408,100471,9295,3.0
421751,100846,9295,4.0
424475,101226,9295,5.0
434556,104051,9295,4.0
454709,109180,9295,5.0
465838,111174,9295,3.0
466392,111358,9295,3.5
477976,114368,9295,4.5
483048,115003,9295,4.0
485324,115435,9295,4.0
490493,116904,9295,5.0
517876,125519,9295,4.5
543934,130571,9295,4.0
569237,136439,9295,2.5
582888,140358,9295,2.5
586998,141719,9295,3.5
603469,145641,9295,3.5
608698,147224,9295,2.5
616668,149069,9295,5.0
627904,152354,9295,3.0
773788,187256,9295,4.5
775698,187621,9295,2.0
799180,193778,9295,5.0
811134,197206,9295,2.5
814680,198213,9295,4.0
828548,200422,9295,4.0
840219,203506,9295,0.5
869689,210485,9295,3.5
876754,212568,9295,4.5
893322,215988,9295,5.0
902974,218615,9295,3.5
977757,235146,9295,5.0
1002825,240643,9295,4.5
1050401,251164,9295,3.5
1058786,252820,9295,3.5
1061735,253780,9295,5.0
1062823,254053,9295,5.0
1083728,259259,9295,4.5
1085304,259629,9295,4.0
1105284,265202,9295,4.0
16,276747,4779,4.5
9458,278843,4779,3.5
20755,4017,4779,5.0
118009,26883,4779,3.5
152551,34987,4779,4.0
171416,37227,4779,5.0
224579,52584,4779,4.0
359498,86548,4779,5.0
367093,88123,4779,4.5
400349,96357,4779,2.5
459889,110382,4779,4.0
560381,135149,4779,3.5
609581,147528,4779,4.5
671967,163467,4779,3.5
675092,164323,4779,3.0
677898,164956,4779,2.5
834907,201697,4779,4.5
836921,202277,4779,4.0
1031576,246634,4779,4.0
1043166,249746,4779,3.5
1129319,271016,4779,4.0
19,276747,1836,4.5
52548,11676,1836,4.0
63784,12982,1836,3.5
125078,28634,1836,4.0
256569,59209,1836,4.0
291705,69405,1836,3.5
480054,114544,1836,3.0
572327,137589,1836,3.5
596995,144038,1836,4.0
613440,148314,1836,4.5
671508,163326,1836,4.0
867299,209756,1836,3.0
1058290,252695,1836,4.0
1138734,274056,1836,3.5
20,276747,6276,4.0
25175,6073,6276,4.5
53019,11676,6276,4.0
132240,30511,6276,3.5
269009,62464,6276,3.0
351988,84537,6276,2.5
383225,92853,6276,4.5
579226,139462,6276,2.5
590094,142479,6276,5.0
658739,159854,6276,4.0
771810,186848,6276,4.0
910231,221655,6276,3.5
930926,225986,6276,4.5
936032,226965,6276,2.5
968326,234288,6276,3.5
1119411,268618,6276,3.0
698,276964,1986,4.0
13147,1585,1986,2.0
53178,11676,1986,1.5
84915,17950,1986,2.5
102495,23768,1986,3.0
112266,25981,1986,5.0
138365,31315,1986,4.5
148850,33580,1986,1.5
161696,35859,1986,3.0
176260,38081,1986,2.0
200575,44893,1986,3.5
217113,50895,1986,3.5
222307,51992,1986,4.5
291494,69389,1986,4.0
315634,76151,1986,5.0
439644,105214,1986,4.0
451119,108005,1986,4.0
464908,110973,1986,4.5
474800,113657,1986,2.5
545169,130950,1986,4.0
562051,135149,1986,3.0
628261,152435,1986,4.0
663632,161039,1986,2.5
664056,161234,1986,3.0
671083,163302,1986,5.0
681085,165866,1986,4.5
710620,172331,1986,3.0
730090,176348,1986,3.5
740038,178914,1986,2.0
763323,184532,1986,3.0
764268,185011,1986,4.5
766622,185233,1986,2.5
777670,188171,1986,4.5
868919,210077,1986,4.5
889170,214315,1986,5.0
921594,224435,1986,2.0
954309,230581,1986,4.0
983595,236283,1986,5.0
1007311,241980,1986,5.0
1055913,252071,1986,4.0
1061214,253580,1986,3.5
1092474,262040,1986,3.5
1098991,263877,1986,4.0
1129178,270906,1986,1.0
9678,99,102,1.5
45161,11629,102,4.0
76929,16634,102,5.0
95781,21404,102,4.0
98575,22625,102,4.5
122484,28204,102,5.0
147847,33179,102,5.0
176914,38281,102,4.0
207815,48025,102,4.5
236278,55075,102,5.0
280361,66591,102,5.0
283060,67515,102,2.5
285140,68156,102,5.0
330167,78783,102,5.0
335931,79942,102,5.0
344319,82102,102,5.0
357443,86145,102,3.5
361649,87141,102,4.0
386539,93179,102,4.5
393480,94985,102,4.0
398670,95921,102,4.0
443698,106225,102,5.0
476697,114089,102,4.0
477163,114216,102,5.0
482429,114988,102,3.5
497878,120082,102,3.0
520172,125878,102,5.0
520929,126296,102,4.5
556758,133935,102,3.0
565176,135776,102,3.5
582737,140294,102,3.5
584981,141210,102,4.0
