Unnamed: 0,user_id,age,country,state
48815,11676,, n/a,
81153,16877,37.0, usa,0
92472,20806,, usa,0
95333,21356,56.0, usa,0
98536,22625,54.0, usa,0
126567,29168,, usa,0
137834,31315,34.0, usa,0
143483,32188,51.0, usa,0
150207,33974,24.0, usa,0
151806,34588,, usa,0
230681,53220,36.0, usa,0
232238,53614,30.0, portugal,7
262687,60337,50.0, usa,0
275761,64436,36.0, usa,0
314273,75819,, usa,0
315493,76151,49.0, usa,0
316334,76351,34.0, usa,0
420408,100471,39.0, usa,0
421751,100846,39.0, usa,0
424475,101226,59.0, usa,0
434556,104051,29.0, usa,0
454709,109180,60.0,,
465838,111174,, usa,0
466392,111358,69.0, usa,0
477976,114368,33.0, usa,0
483048,115003,43.0, usa,0
485324,115435,30.0, usa,0
490493,116904,38.0, usa,0
517876,125519,40.0, usa,0
543934,130571,, usa,0
569237,136439,36.0, usa,0
582888,140358,, usa,0
586998,141719,, usa,0
603469,145641,, usa,0
608698,147224,41.0, usa,0
616668,149069,30.0, usa,0
627904,152354,, usa,0
773788,187256,, usa,0
775698,187621,39.0, netherlands,8
799180,193778,, usa,0
811134,197206,, usa,0
814680,198213,19.0, usa,0
828548,200422,29.0, usa,0
840219,203506,18.0, usa,0
869689,210485,35.0, usa,0
876754,212568,, usa,0
893322,215988,42.0, usa,0
902974,218615,, usa,0
977757,235146,39.0, usa,0
1002825,240643,, usa,0
1050401,251164,59.0, usa,0
1058786,252820,33.0, canada,1
1061735,253780,25.0,,
1062823,254053,27.0, usa,0
1083728,259259,30.0, usa,0
1085304,259629,51.0, usa,0
1105284,265202,38.0, usa,0
16,276747,25.0, usa,0
9458,278843,28.0, usa,0
20755,4017,48.0, usa,0
118009,26883,, austria,12
152551,34987,37.0, usa,0
171416,37227,27.0, usa,0
224579,52584,45.0, usa,0
359498,86548,24.0, romania,16
367093,88123,53.0, usa,0
400349,96357,31.0, usa,0
459889,110382,35.0, usa,0
560381,135149,, usa,0
609581,147528,, canada,1
671967,163467,28.0, usa,0
675092,164323,31.0, canada,1
677898,164956,44.0, canada,1
834907,201697,29.0, canada,1
836921,202277,54.0, usa,0
1031576,246634,, usa,0
1043166,249746,46.0, usa,0
1129319,271016,, usa,0
63784,12982,41.0, spain,5
125078,28634,28.0, usa,0
256569,59209,41.0, canada,1
291705,69405,36.0, netherlands,8
480054,114544,35.0, usa,0
572327,137589,35.0, usa,0
596995,144038,49.0, usa,0
613440,148314,29.0, canada,1
671508,163326,28.0, usa,0
867299,209756,36.0, usa,0
1058290,252695,, usa,0
1138734,274056,24.0, usa,0
25175,6073,28.0, usa,0
132240,30511,, netherlands,8
269009,62464,26.0, usa,0
351988,84537,22.0, usa,0
383225,92853,, united kingdom,3
579226,139462,30.0, united kingdom,3
590094,142479,, usa,0
658739,159854,, usa,0
771810,186848,31.0, usa,0
910231,221655,, usa,0
930926,225986,36.0, united kingdom,3
936032,226965,47.0, usa,0
968326,234288,35.0, australia,4
1119411,268618,, usa,0
698,276964,34.0, usa,0
13147,1585,29.0, usa,0
84915,17950,32.0, malaysia,10
102495,23768,45.0, usa,0
112266,25981,, usa,0
148850,33580,27.0, usa,0
161696,35859,, usa,0
176260,38081,, usa,0
200575,44893,, usa,0
217113,50895,, usa,0
222307,51992,43.0, usa,0
291494,69389,29.0, usa,0
439644,105214,34.0, usa,0
451119,108005,29.0, usa,0
464908,110973,43.0, usa,0
474800,113657,, usa,0
545169,130950,32.0, usa,0
628261,152435,40.0, usa,0
663632,161039,30.0, canada,1
664056,161234,41.0, usa,0
671083,163302,23.0, philippines,17
681085,165866,27.0, usa,0
710620,172331,27.0, usa,0
730090,176348,33.0, usa,0
740038,178914,, usa,0
763323,184532,28.0, usa,0
764268,185011,42.0, usa,0
766622,185233,31.0, usa,0
777670,188171,, usa,0
868919,210077,55.0, usa,0
889170,214315,32.0, usa,0
921594,224435,24.0, usa,0
954309,230581,29.0, usa,0
983595,236283,41.0, usa,0
1007311,241980,35.0, usa,0
1055913,252071,32.0, usa,0
1061214,253580,52.0, canada,1
1092474,262040,41.0, canada,1
1098991,263877,44.0, canada,1
1129178,270906,32.0, usa,0
9678,99,42.0, usa,0
45161,11629,21.0, usa,0
76929,16634,42.0, usa,0
95781,21404,, canada,1
122484,28204,61.0, canada,1
147847,33179,, antarctica,
176914,38281,33.0, spain,5
207815,48025,43.0, usa,0
236278,55075,33.0, usa,0
280361,66591,35.0, usa,0
283060,67515,45.0, usa,0
285140,68156,34.0, usa,0
330167,78783,49.0, usa,0
335931,79942,26.0, australia,4
344319,82102,20.0, canada,1
357443,86145,45.0, usa,0
361649,87141,, usa,0
386539,93179,, usa,0
393480,94985,39.0, spain,5
398670,95921,, australia,4
443698,106225,38.0, usa,0
