,0
rmse,0.837587532154952
mae,0.623549423506904
prec10t4,0.824424099923515
tailprec10t4,0.8399794718890646
prec10t4_frac,0.751562909589317
tailprec10t4_frac,0.712802851411261
prec5t4,0.8265183751002114
tailprec5t4,0.8414324542823282
prec5t4_frac,0.751562909589317
tailprec5t4_frac,0.712802851411261
rec10t4,0.9775123180257717
tailrec10t4,0.9844327952799382
rec10t4_frac,0.751562909589317
tailrec10t4_frac,0.712802851411261
rec5t4,0.9268877540133831
tailrec5t4,0.9450907716752941
rec5t4_frac,0.751562909589317
tailrec5t4_frac,0.712802851411261
ndcg10,0.8229314641907053
tailndcg10,0.8274316792835021
ndcg10_frac,0.06104623790563548
tailndcg10_frac,0.042684598479342785
ndcg5,0.8202592871254346
tailndcg5,0.8256967302052638
ndcg5_frac,0.17610861204473388
tailndcg5_frac,0.13613914404109054
ndcgfull,0.9578061364024226
tailndcgfull,0.9641566862198736
ndcgfull_frac,1.0
tailndcgfull_frac,1.0
hits,1.7245332885348241
tailhits,1.4387446828969161
hits_frac,1.0
tailhits_frac,1.0
normhits,0.8236643857526207
tailnormhits,0.839530189836864
normhits_frac,0.751562909589317
tailnormhits_frac,0.712802851411261
avgrating,3.8344156001856478
tailavgrating,3.8098040440401797
avgrating_frac,1.0
tailavgrating_frac,1.0
avgest,3.872982771907252
tailavgest,3.8664898610281933
avgest_frac,1.0
tailavgest_frac,1.0
falsepos,0.3822949755038202
tailfalsepos,0.3000560451407349
falsepos_frac,1.0
tailfalsepos_frac,1.0
totalhits,14802.8
tailtotalhits,10537.0
totalhits_frac,1.0
tailtotalhits_frac,1.0
