Name,# Ratings,"% change surfaced hits, similar users (1)","% change surfaced hits, other users (2)",Similar User Effect Ratio (3)=(1)/(2)
under 18,2538,-0.49,-0.02,23.76
18-24,8955,-0.18,-0.02,7.37
25-34,36884,-0.25,-0.19,1.32
35-44,26914,-0.24,-0.10,2.45
45-49,9316,-0.32,-0.05,5.94
50-55,9153,-0.49,-0.03,18.71
56+,7177,-0.26,-0.04,7.14
usa,106953,-0.53,-0.52,1.02
canada,13608,-0.28,-0.08,3.45
germany,2509,-0.57,-0.02,26.10
united kingdom,3383,-0.38,-0.02,18.47
australia,1869,-0.97,-0.01,136.99
france,977,0.63,-0.03,-18.51
portugal,1401,0.22,-0.04,-5.21
